Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0332847	18	3	9	150	43	63	9	4	13	77	59	78	40.06	9	71	7.987	2.998	6.576	4.84158916738691e-11	7.95439709931550e-09	0.0046	0.203	0.0858	0.0858	TRUE	0.2904
FBtr0303709	27	6	10	148	77	56	14	9	14	76	106	69	48	12	84	6.588	2.72	6.487	8.77583946011038e-11	1.35343226896284e-08	0	0.1841	0.0796	0.0796	TRUE	0.4468
FBtr0305679	536	170	220	1168	487	521	277	255	310	597	669	646	459	281	637	2.271	1.183	6.374	1.8380182760182e-10	2.73663689877773e-08	0.0027	0.0982	0.022	0.022	TRUE	0.0848
FBtr0346711	1061	386	337	2614	835	934	548	578	475	1336	1148	1159	873.88	534	1214	2.276	1.187	6.349	2.1705294357644e-10	3.18199615283061e-08	0.0067	0.0935	0.0237	0.0237	TRUE	0.1041
FBtr0088506	1527	499	609	3057	1309	1541	789	747	858	1562	1799	1911	1277.87	798	1757	2.201	1.138	6.327	2.50115916066552e-10	3.61114327908814e-08	0.0071	0.0918	0.0223	0.0223	TRUE	0.1167
FBtr0306087	263	43	48	827	322	372	136	64	68	423	443	461	265.77	89	442	4.862	2.281	6.255	3.97228327086055e-10	5.48578076638119e-08	0.0802	0.1055	0.0885	0.0885	TRUE	2.307
FBtr0080892	451	135	163	913	374	393	233	202	230	467	514	487	355.5	222	489	2.199	1.137	6.201	5.60348011871982e-10	7.52050169736355e-08	0	0.1012	0.0207	0.0207	TRUE	0.0579
FBtr0077920	866	342	401	2084	814	893	448	512	565	1065	1119	1108	802.69	508	1097	2.165	1.114	6.165	7.05293532086824e-10	9.33436398229909e-08	0.0054	0.0939	0.022	0.022	TRUE	0.138
FBtr0076453	609	183	208	1523	430	594	315	274	293	778	591	737	497.99	294	702	2.387	1.255	5.944	2.78867445353308e-09	3.49648406154167e-07	0.0115	0.0974	0.0295	0.0295	TRUE	0.2202
FBtr0110925	63	26	37	851	125	165	33	39	52	435	172	205	155.84	41	271	6.655	2.734	5.866	4.47185703133318e-09	5.4631186732787e-07	0.1488	0.1177	0.1411	0.1411	TRUE	1.6198
FBtr0301964	145	145	135	1290	1126	1369	75	217	190	659	1548	1698	731.24	161	1302	8.138	3.025	5.799	6.67082882089781e-09	7.9457909792919e-07	0.2497	0.0945	0.1921	0.1921	TRUE	1.2516
FBtr0076885	666	223	237	1222	467	506	344	334	334	625	642	628	484.34	337	632	1.869	0.903	5.79	7.04991193437555e-09	8.1925135149591e-07	0	0.0977	0.0151	0.0151	TRUE	0.0041
FBtr0087820	37	11	19	165	63	62	19	16	27	84	87	77	51.7	21	83	4.019	2.007	5.78	7.47513718689212e-09	8.47983122070179e-07	0	0.1772	0.0554	0.0554	TRUE	0.2331
FBtr0072506	837	509	535	4188	1428	1689	433	762	753	2140	1963	2095	1357.78	649	2066	3.19	1.674	5.764	8.23678234915173e-09	9.13689109560829e-07	0.0479	0.0916	0.0596	0.0596	TRUE	1.0469
FBtr0299564	168	72	72	441	194	235	87	108	101	225	267	291	179.93	99	261	2.661	1.412	5.763	8.2461185247383e-09	9.13689109560829e-07	0.0121	0.1138	0.0357	0.0357	TRUE	0.1784
FBtr0300017	19401	7626	6844	40618	23429	24499	10025	11420	9638	20760	32206	30388	19073.01	10361	27785	2.682	1.423	5.721	1.05976662250388e-08	1.1475586529363e-06	0.0285	0.0885	0.0445	0.0445	TRUE	0.5993
FBtr0089716	480	209	170	1139	606	571	248	313	239	582	833	708	487.31	267	708	2.654	1.408	5.642	1.67934094363565e-08	1.75850987383561e-06	0.0232	0.0976	0.042	0.042	TRUE	0.091
FBtr0088663	20102	6412	6907	37030	21575	20189	10388	9602	9727	18926	29658	25042	17223.77	9906	24542	2.477	1.309	5.542	2.99420493949059e-08	3.00334514404272e-06	0.0249	0.0885	0.0401	0.0401	TRUE	0.1341
FBtr0076935	78	26	23	202	84	95	40	39	32	103	115	118	74.7	37	112	2.972	1.571	5.512	3.54344185284069e-08	3.51723514747073e-06	0	0.1498	0.04	0.04	TRUE	0.0726
FBtr0077008	1615	457	668	3446	1355	1338	835	684	941	1761	1863	1660	1290.53	820	1761	2.147	1.102	5.424	5.81316486153204e-08	5.65241305770804e-06	0.0127	0.0918	0.0288	0.0288	TRUE	0.2389
FBtr0082069	41	21	6	240	67	134	21	31	8	123	92	166	73.68	20	127	6.239	2.641	5.355	8.57041235268946e-08	8.00661365772332e-06	0.1396	0.1506	0.1445	0.1445	TRUE	0.272
FBtr0345429	105	37	35	244	111	116	54	55	49	125	153	144	96.69	53	141	2.629	1.395	5.333	9.65042071071538e-08	8.84219797619296e-06	0	0.1358	0.0356	0.0356	TRUE	0.1179
FBtr0113020	57	20	18	186	68	64	29	30	25	95	93	79	58.78	28	89	3.153	1.657	5.323	1.02027391154665e-07	9.25922866964572e-06	0	0.1665	0.0457	0.0457	TRUE	0.0826
FBtr0299837	7634	2943	2209	20229	6711	6234	3945	4407	3111	10339	9225	7733	6459.96	3821	9099	2.381	1.252	5.296	1.18124973417845e-07	1.05197464644733e-05	0.0248	0.0889	0.0401	0.0401	TRUE	0.2121
FBtr0302188	1455	442	474	2337	891	1006	752	662	668	1194	1225	1248	958.06	694	1222	1.758	0.814	5.181	2.2128105333657e-07	1.84963785723174e-05	0.002	0.093	0.0165	0.0165	TRUE	0.0675
FBtr0078136	149	45	54	315	124	158	77	67	76	161	170	196	124.64	73	176	2.373	1.247	5.136	2.80926380073655e-07	2.32778041367118e-05	0	0.1251	0.0323	0.0323	TRUE	0.1042
FBtr0347201	611	306	276	1857	573	687	316	458	389	949	788	852	625.26	388	863	2.238	1.162	4.994	5.90493431006017e-07	4.65025777194738e-05	0.0185	0.0956	0.0369	0.0369	TRUE	0.3264
FBtr0344873	2	4	3	58	29	42	1	6	4	30	40	52	22.14	4	41	12.644	3.66	4.976	6.49850222847188e-07	5.07575637173021e-05	0.1408	0.296	0.2182	0.2182	TRUE	0.6907
FBtr0346713	1301	231	408	2480	1826	1911	672	346	575	1268	2510	2370	1290.13	531	2049	3.852	1.946	4.963	6.94266373526489e-07	5.33521312365638e-05	0.1179	0.0918	0.1094	0.1094	TRUE	1.3603
FBtr0072767	258	62	94	503	294	366	133	93	132	257	404	454	245.63	119	372	3.088	1.627	4.919	8.72043120709408e-07	6.54306999782673e-05	0.0589	0.1069	0.0728	0.0728	TRUE	0.4501
FBtr0333852	148	61	37	336	319	351	76	91	52	172	439	435	210.92	73	349	4.739	2.245	4.905	9.35338528026289e-07	6.90917894074613e-05	0.1582	0.11	0.1418	0.1418	TRUE	2.3643
FBtr0347200	644	135	153	1700	428	555	333	202	215	869	588	688	482.67	250	715	2.846	1.509	4.847	1.25613185214253e-06	8.99975971358356e-05	0.057	0.0977	0.0669	0.0669	TRUE	0.4777
FBtr0072649	5466	1910	1907	8612	3049	3642	2825	2860	2686	4402	4191	4517	3580.12	2790	4370	1.566	0.647	4.798	1.59881756029098e-06	0.00010960527001448	8e-04	0.0895	0.0128	0.0128	TRUE	0.0154
FBtr0082452	11104	3101	3028	22013	6461	7663	5738	4644	4264	11251	8881	9505	7380.59	4882	9879	2.023	1.017	4.669	3.02148142825198e-06	0.000195861881155191	0.0198	0.0888	0.034	0.034	TRUE	0.2883
