Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0306087	263	43	48	827	322	372	136	64	68	423	443	461	265.77	89	442	5.138	2.361	7.836	4.63317664267782e-15	5.9668696333915e-13	0.0656	0.0499	0.0574	0.0574	TRUE	NA
FBtr0088266	534	102	101	1309	322	353	276	153	142	669	443	438	353.41	190	517	2.759	1.464	7.757	8.68113183430609e-15	1.08695004842041e-12	0.0039	0.0438	0.0213	0.0213	TRUE	NA
FBtr0332406	191	919	751	637	2528	2334	99	1376	1058	326	3475	2895	1538.04	844	2232	2.814	1.493	7.711	1.24362712645511e-14	1.51504034391795e-12	0.0217	0.0297	0.0254	0.0254	TRUE	NA
FBtr0072506	837	509	535	4188	1428	1689	433	762	753	2140	1963	2095	1357.78	649	2066	3.288	1.717	7.583	3.36632343930483e-14	3.84144377282697e-12	0.0412	0.0303	0.0359	0.0359	TRUE	NA
FBtr0075541	171	33	35	606	138	142	88	49	49	310	190	176	143.77	62	225	3.621	1.856	7.514	5.74772744213943e-14	6.39700776430703e-12	0	0.0705	0.0318	0.0318	TRUE	NA
FBtr0088506	1527	499	609	3057	1309	1541	789	747	858	1562	1799	1911	1277.87	798	1757	2.192	1.132	7.47	8.00076802102854e-14	8.6899908083822e-12	0.0051	0.0306	0.0156	0.0156	TRUE	NA
FBtr0346711	1061	386	337	2614	835	934	548	578	475	1336	1148	1159	873.88	534	1214	2.274	1.186	7.392	1.44278245888144e-13	1.51240510079258e-11	0.0044	0.0329	0.017	0.017	TRUE	NA
FBtr0077920	866	342	401	2084	814	893	448	512	565	1065	1119	1108	802.69	508	1097	2.171	1.118	7.291	3.08300344622389e-13	3.15832682587596e-11	0	0.0336	0.0154	0.0154	TRUE	NA
FBtr0332963	149	58	53	556	175	195	77	87	75	284	241	242	167.52	80	256	3.237	1.695	7.177	7.10889897725323e-13	7.04249717361955e-11	0.0019	0.0641	0.0312	0.0312	TRUE	NA
FBtr0340135	1615	961	897	4838	1976	2538	835	1439	1263	2473	2716	3148	1978.99	1179	2779	2.41	1.269	7.164	7.84240651810949e-13	7.6847059522562e-11	0.0166	0.0288	0.022	0.022	TRUE	NA
FBtr0076545	545	271	246	1174	854	825	282	406	346	600	1174	1023	638.53	345	932	2.622	1.391	7.151	8.62923186436245e-13	8.36478766206748e-11	0.0165	0.0357	0.0252	0.0252	TRUE	NA
FBtr0304990	128	30	14	762	108	127	66	45	20	389	148	158	137.71	44	232	5.183	2.374	7.1	1.25114442148433e-12	1.18727020628223e-10	0.0379	0.0725	0.0622	0.0622	TRUE	NA
FBtr0302833	567	211	177	1275	557	591	293	316	249	652	766	733	501.44	286	717	2.493	1.318	7.083	1.40876629422891e-12	1.32291959817434e-10	0.008	0.0384	0.0223	0.0223	TRUE	NA
FBtr0304005	290	48	51	840	196	171	150	72	72	429	269	212	200.74	98	303	3.148	1.655	6.952	3.59087626989788e-12	3.23717495731294e-10	0.0098	0.0578	0.0323	0.0323	TRUE	NA
FBtr0089716	480	209	170	1139	606	571	248	313	239	582	833	708	487.31	267	708	2.628	1.394	6.935	4.05919709404843e-12	3.58761390223986e-10	0.0151	0.0388	0.0263	0.0263	TRUE	NA
FBtr0076453	609	183	208	1523	430	594	315	274	293	778	591	737	497.99	294	702	2.389	1.256	6.93	4.21381709690681e-12	3.68811273093348e-10	0.0076	0.0385	0.021	0.021	TRUE	NA
FBtr0088663	20102	6412	6907	37030	21575	20189	10388	9602	9727	18926	29658	25042	17223.77	9906	24542	2.444	1.289	6.781	1.19665843260924e-11	1.01772412924267e-09	0.026	0.0259	0.026	0.026	TRUE	NA
FBtr0330145	382	160	167	818	673	829	197	240	235	418	925	1028	507.28	224	790	3.284	1.715	6.767	1.31120562779561e-11	1.10472137706331e-09	0.0484	0.0383	0.0433	0.0433	TRUE	NA
